Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢),Scraped_Date
23/10/2024,MAC,5.38,5.38,5.38,5.38,5.38,5.38,0.0,0.0,5.38,0.0,0.0,2025-08-23 18:33:27
23/10/2024,MTNGH,2.43,1.39,2.16,2.16,2.16,2.16,0.0,2.0,2.16,17032.0,36789.12,2025-08-23 18:33:27
23/10/2024,PBC**,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27
23/10/2024,RBGH,0.66,0.48,0.66,0.66,0.66,0.66,0.0,0.66,0.0,2051.0,1353.66,2025-08-23 18:33:27
23/10/2024,SCB,22.1,17.53,22.1,22.1,22.1,22.1,0.0,23.0,0.0,0.0,0.0,2025-08-23 18:33:27
23/10/2024,SIC,0.25,0.24,0.25,0.25,0.25,0.25,0.0,0.0,0.25,195.0,48.75,2025-08-23 18:33:27
23/10/2024,SOGEGH,1.57,1.5,1.5,1.5,1.5,1.5,0.0,1.5,0.0,0.0,0.0,2025-08-23 18:33:27
23/10/2024,TBL,0.83,0.82,0.83,0.83,0.83,0.83,0.0,0.83,0.0,0.0,0.0,2025-08-23 18:33:27
23/10/2024,TOTAL,12.7,9.0,12.66,12.66,12.7,12.7,0.04,12.7,0.0,2170.0,27559.0,2025-08-23 18:33:27
23/10/2024,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,0.0,11.92,5.0,59.6,2025-08-23 18:33:27
23/10/2024,UNIL,16.5,8.11,16.5,16.5,16.5,16.5,0.0,16.5,17.6,63.0,1039.5,2025-08-23 18:33:27
23/10/2024,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27
23/10/2024,CALPREF,0.29,0.29,0.29,0.29,0.29,0.29,0.0,0.29,0.0,0.0,0.0,2025-08-23 18:33:27
23/10/2024,SCBPREF,0.9,0.9,0.9,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27
23/10/2024,GLD,432.0,218.5,426.23,426.23,432.0,432.0,5.77,426.0,0.0,503.0,217296.0,2025-08-23 18:33:27
Daily Date,Share Code,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27
23/10/2024,SAMBA,0.55,0.55,0.55,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27
23/10/2024,MMH,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27
23/10/2024,HORDS,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,2025-08-23 18:33:27
23/10/2024,IIL,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.05,0.0,0.0,2025-08-23 18:33:27
23/10/2024,DIGICUT,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.09,0.0,0.0,2025-08-23 18:33:27
22/10/2024,ACCESS,4.8,3.4,4.32,4.32,4.32,4.32,0.0,4.32,0.0,44.0,190.08,2025-08-23 18:33:27
22/10/2024,ADB,5.06,5.06,5.06,5.06,5.06,5.06,0.0,5.06,0.0,0.0,0.0,2025-08-23 18:33:27
22/10/2024,AGA,37.0,37.0,37.0,37.0,37.0,37.0,0.0,37.0,0.0,0.0,0.0,2025-08-23 18:33:27
22/10/2024,**ALW**,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27
22/10/2024,ASG,8.89,8.89,8.89,8.89,8.89,8.89,0.0,8.89,0.0,0.0,0.0,2025-08-23 18:33:27
22/10/2024,ALLGH,6.15,4.4,6.15,6.15,6.15,6.15,0.0,0.0,6.14,521.0,3198.94,2025-08-23 18:33:27
22/10/2024,BOPP,25.21,21.53,25.21,25.21,25.21,25.21,0.0,25.25,0.0,0.0,0.0,2025-08-23 18:33:27
22/10/2024,CAL,0.5,0.26,0.28,0.28,0.26,0.26,0.02,0.26,0.26,340309.0,88545.83,2025-08-23 18:33:27
22/10/2024,CLYD,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.03,0.0,0.0,0.0,2025-08-23 18:33:27
22/10/2024,CMLT,0.12,0.1,0.12,0.12,0.12,0.12,0.0,0.12,0.0,0.0,0.0,2025-08-23 18:33:27
22/10/2024,CPC,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.0,30.0,0.6,2025-08-23 18:33:27
22/10/2024,DASPHARMA,0.4,0.33,0.38,0.38,0.38,0.38,0.0,0.0,0.38,153.0,58.14,2025-08-23 18:33:27
22/10/2024,EGH,6.2,5.48,6.1,6.1,6.1,6.1,0.0,6.1,0.0,159.0,969.9,2025-08-23 18:33:27
22/10/2024,EGL,2.39,1.32,1.99,1.99,1.99,1.99,0.0,0.0,1.99,0.0,0.0,2025-08-23 18:33:27
22/10/2024,ETI,0.18,0.15,0.18,0.18,0.18,0.18,0.0,0.19,0.0,0.0,0.0,2025-08-23 18:33:27
22/10/2024,FML,3.7,3.19,3.5,3.5,3.5,3.5,0.0,3.5,3.7,100.0,350.0,2025-08-23 18:33:27
22/10/2024,GCB,6.15,3.4,6.15,6.15,6.15,6.15,0.0,6.15,0.0,1804.0,11094.6,2025-08-23 18:33:27
22/10/2024,GGBL,5.16,3.4,4.7,4.7,4.7,4.7,0.0,0.0,4.7,284.0,1334.8,2025-08-23 18:33:27
22/10/2024,GOIL,1.51,1.5,1.51,1.51,1.51,1.51,0.0,0.0,1.51,9777.0,14763.27,2025-08-23 18:33:27
22/10/2024,MAC,5.38,5.38,5.38,5.38,5.38,5.38,0.0,0.0,5.38,3.0,16.14,2025-08-23 18:33:27
Daily Date,Share Code,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27
22/10/2024,MTNGH,2.43,1.39,2.16,2.16,2.16,2.16,0.0,2.0,2.16,72491.0,156580.56,2025-08-23 18:33:27
22/10/2024,PBC**,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27
22/10/2024,RBGH,0.66,0.48,0.6,0.6,0.66,0.66,0.06,0.66,0.0,4687.0,3093.42,2025-08-23 18:33:27
22/10/2024,SCB,22.1,17.53,22.1,22.1,22.1,22.1,0.0,23.0,0.0,0.0,0.0,2025-08-23 18:33:27
22/10/2024,SIC,0.25,0.24,0.25,0.25,0.25,0.25,0.0,0.0,0.25,486.0,121.5,2025-08-23 18:33:27
22/10/2024,SOGEGH,1.57,1.5,1.5,1.5,1.5,1.5,0.0,1.5,0.0,0.0,0.0,2025-08-23 18:33:27
22/10/2024,TBL,0.83,0.82,0.83,0.83,0.83,0.83,0.0,0.83,0.0,0.0,0.0,2025-08-23 18:33:27
22/10/2024,TOTAL,12.66,9.0,12.66,12.66,12.66,12.66,0.0,12.7,0.0,48.0,609.6,2025-08-23 18:33:27
22/10/2024,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,0.0,11.92,11.0,131.12,2025-08-23 18:33:27
22/10/2024,UNIL,16.5,8.11,16.5,16.5,16.5,16.5,0.0,16.5,17.6,761.0,12556.5,2025-08-23 18:33:27
22/10/2024,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27
22/10/2024,CALPREF,0.29,0.29,0.29,0.29,0.29,0.29,0.0,0.29,0.0,0.0,0.0,2025-08-23 18:33:27
22/10/2024,SCBPREF,0.9,0.9,0.9,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27
22/10/2024,GLD,426.23,218.5,426.0,426.0,428.0,426.23,0.23,426.0,0.0,3359.0,1431723.0,2025-08-23 18:33:27
22/10/2024,SAMBA,0.55,0.55,0.55,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27
22/10/2024,MMH,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27
22/10/2024,HORDS,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,2025-08-23 18:33:27
22/10/2024,IIL,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.05,0.0,0.0,2025-08-23 18:33:27
22/10/2024,DIGICUT,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.09,0.0,0.0,2025-08-23 18:33:27
21/10/2024,ACCESS,4.8,3.4,4.32,4.32,4.32,4.32,0.0,4.32,0.0,0.0,0.0,2025-08-23 18:33:27
21/10/2024,ADB,5.06,5.06,5.06,5.06,5.06,5.06,0.0,5.06,0.0,0.0,0.0,2025-08-23 18:33:27
21/10/2024,AGA,37.0,37.0,37.0,37.0,37.0,37.0,0.0,37.0,0.0,0.0,0.0,2025-08-23 18:33:27
21/10/2024,**ALW**,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27
21/10/2024,ASG,8.89,8.89,8.89,8.89,8.89,8.89,0.0,8.89,0.0,0.0,0.0,2025-08-23 18:33:27
21/10/2024,ALLGH,6.15,4.4,6.15,6.15,6.15,6.15,0.0,0.0,6.15,32.0,196.8,2025-08-23 18:33:27
Daily Date,Share Code,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27
21/10/2024,BOPP,25.21,21.53,25.21,25.21,25.21,25.21,0.0,25.25,0.0,0.0,0.0,2025-08-23 18:33:27
